tag1	tag2	tag3	tag4	artist	count(1)
60s	Psychedelic Rock	psychedelic	classic rock	The Move	1
60s	classic rock	rock	soul	Box Tops	2
60s	classic rock	rock	soul	The Box Tops	7
60s	female vocalists	pop	oldies	Nancy Sinatra	2
60s	oldies	rock	Soundtrack	Bruce Channel	2
60s	pop	soul	oldies	The Ronettes	1
80ies	comedy	unknown	All	Unknown	3
80s				Génération 80	1
80s	70s	Disco	pop	Neoton Familia	3
80s	Disco	pop	dance	Modern Talking	2
80s	french	pop	chanson	François Valéry	1
80s	new wave	french	synthpop	Desireless	1
80s	new wave	pop	british	Culture Club	2
80s	pop	soft rock	rock	Cock Robin	6
80s	pop	soft rock	singer-songwriter	Black	2
90s	eurodance	dance	french	Patsy	1
All				Harmonie Bayonnaise	2
All	ambient	electronic	french	Naps	1
All	punk	psychedelic pop	psychedelic folk	Arthur	2
All	spotify			Eloquence & Kayliah	1
Bossa Nova	brazilian	mpb	jazz	Marcos Valle	3
Bossa Nova	lounge	chillout	trip-hop	Scubba	4
China				Technasia & Green Velvet	1
Classical	baroque	instrumental	composers	Vivaldi	2
Classical	opera	italian	male vocalists	Andrea Bocelli	1
Disco	70s	soul	female vocalists	Gloria Gaynor	3
Disco	80s	pop	70s	Ottawan	1
Disco	electronic	synthpop	Soundtrack	Moroder	1
Disco	french	70s	chanson francaise	Patrick Juvet	1
Disco	funk	80s	dance	Indeep	2
Disco	funk	soul	70s	Chic	1
Disco	latin	70s	Soundtrack	Santa Esmeralda	3
Disco	nu disco	nu-disco	space disco	The Swiss	1
Disco	pop	70s	80s	Village People	2
Disco	pop	70s	classic rock	Andy Gibb	2
Disco	pop	70s	classic rock	Bee Gees	24
Disco	pop	70s	dance	Donna Summer	2
Disco	pop	soul	80s	The Pointer Sisters	3
Drum and bass	electronic	Drum n Bass	dnb	Pendulum	1
Drum and bass	jungle	electronic	Drum n Bass	T Power	1
Electroclash	ethno	electro	electronic	Skip&Die	2
Flamenco	latin	spanish	guitar	Gipsy Kings	13
Folk Music	folk	Old French folk		Chanson Française	1
French rock	rock			Cachemire	3
Garage Rock	rock	indie	swedish	The Hives	3
Gothic Metal	metal	Female fronted metal	female vocalists	Lacuna Coil	6
Gothic Rock	rock	female vocalists	alternative	Evanescence	6
Greek	pop	male vocalists	Greek Pop	Sakis	2
Grunge	japanese	hardcore	noise	Sunday Bloody Sunday	4
Grunge	rock	alternative rock	alternative	Nirvana	10
Grunge	rock	alternative rock	singer-songwriter	Chris Cornell	1
Hip-Hop	british	Grime	rap	Plan B	1
Hip-Hop	chile	rap	female vocalists	Makiza	3
Hip-Hop	electronic	french	hip hop	Maniacx	1
Hip-Hop	french	punk	rap	Stupeflip	1
Hip-Hop	french	rap	france	Ninho	1
Hip-Hop	french	rap	french hip-hop	Mc Solaar	1
Hip-Hop	french	rap	rap francais	La Fouine	1
Hip-Hop	french	rap	rap francais	Ntm	1
Hip-Hop	french	rap	rap francais	Suprême Ntm	4
Hip-Hop	french rap	rap	rap francais	Booba	1
Hip-Hop	funk	french	rap	Alliance Ethnik	2
Hip-Hop	hardcore rap	Gangsta Rap	rap	Onyx	79
Hip-Hop	pop	rnb	rap	Black Eyed Peas	2
Hip-Hop	pop	rnb	rap	The Black Eyed Peas	6
Hip-Hop	rap	90s	hip hop	Kris Kross	1
Hip-Hop	rap	Gangsta Rap	west coast	Dr  Dre	1
Hip-Hop	rap	afrikaans	next level beats	Die Antwoord	4
Hip-Hop	rap	alternative	hip hop	Beastie Boys	103
Hip-Hop	rap	alternative	hip hop	Beasty Boys	2
Hip-Hop	rap	alternative	hip hop	Fatboy Slim & Beasty Boys	2
Hip-Hop	rap	alternative	hip hop	The Beastie Boys	4
Hip-Hop	rap	east coast rap	hip hop	Nas	2
Hip-Hop	rap	female vocalists	80s	Salt-N-Pepa	1
Hip-Hop	rap	french	french rap	Fonky Family	2
Hip-Hop	rap	french	french rap	Iam	6
Hip-Hop	rap	french hip-hop	french rap	Shurik N	1
Hip-Hop	rap	hip hop	Kanye West	Jay-Z & Kanye West	2
Hip-Hop	rap	hip hop	east coast rap	Jay-Z	1
Hip-Hop	rap	hip hop	eurorap	Down Low	1
Hip-Hop	rap	hip hop	indie	Childish Gambino	1
Hip-Hop	rap	old school	80s	Run Dmc Aerosmith	5
Hip-Hop	rap	old school	80s	Run-Dmc	3
Hip-Hop	rap	old school	hip hop	House Of Pain	3
Hip-Hop	rap	old school	hip hop	Sugar Hill Gang	2
Hip-Hop	rap	rap francais	french	Soprano	2
Hip-Hop	rap	rap francais	french rap	113	2
Hip-Hop	rap	rapcore	hip hop	Cypress Hill	15
Hip-Hop	rap	rnb	hip hop	Russ	1
Hip-Hop	rap	soul	rnb	Fugees	6
Hip-Hop	rap	soul	rnb	The Fugees	4
Hip-Hop	reggae	rap	rnb	Wyclef Jean	2
Hip-Hop	rnb	female vocalists	british	Ms Dynamite	2
Hip-Hop	rnb	french	pop	K Maro	1
Hip-Hop	rnb	french pop	france	Marwa Loud	1
Hip-Hop	rnb	rap	hip hop	Madcon	3
Hip-Hop	rnb	rap	hip hop	Pharrell Williams	2
Hip-Hop	soul	jay z	Alicia Keys	Jay-Z Feat  Alicia Keys	1
Hip-Hop	techno	french hip-hop	rap	Veerus	1
Hip-Hop	trip-hop	reggae	alternative	Mattafix	2
Hip-Hop	turntablism	french rap	french	Ntm-Cut Killer	1
Home collection				Shirley & Co	2
House	Progressive House	electronic	electro	Steve Angello	1
House	dance	Progressive House	electronic	Deorro	2
House	dance	electronic	90s	Nightcrawlers	1
House	dance	electronic	club	David Guetta	4
House	dance	electronic	electro	Guru Josh Project	1
House	dance	electronic	french	Bob Sinclar	1
House	dance	techno	pop	The Beatmasters	3
House	dance	vocal house	techno	Celeda	1
House	deep house	dutch	electronic	Bakermat	1
House	deep house	electronic	nu disco	Claptone	1
House	electronic	DIsco House	funky	Duck Sauce	2
House	electronic	USA	EDM	Wuki	2
House	electronic	australia	australian	Shouse	1
House	electronic	chillout	DIsco House	Flight Facilities	2
House	electronic	dance	Progressive House	Avicii	1
House	electronic	dance	club	Armand Van Helden	1
House	electronic	dance	french	Modjo	1
House	electronic	dance	french house	Stardust	1
House	electronic	dance	funk	The Supermen Lovers	1
House	electronic	synthpop	USA	Lp Giobbi	1
House	french	dance	electronic	Kungs	3
House	minimal	electronic	techno	Samim	1
House	puerto rico			The Rivera Project	2
House	techno	dance	electronic	Dj  Dero	3
House	techno	dance	electronic	Jaydee	1
I want to have sex with this song				Rammstein Official	25
Italo Disco	electronic	Disco	new wave	Topo & Roby	1
Leo Moracchioli				Frog Leap Studios	11
Lo-Fi	mistagged artist	eisregen black-metal	i am too lazy to make tags right	12	1
Love Metal	Gothic Rock	rock	finnish	Him	1
Martinique	west indies			David Martial	3
Melodic Death Metal	Power metal	Progressive metal	Extreme Power Metal	Raintime	1
Melodic Death Metal	death metal	Female fronted metal	swedish	Arch Enemy	1
Melodic Death Metal	death metal	Power metal	metal	Children Of Bodom	1
Melodic Death Metal	death metal	finnish	metal	Insomnium	1
Melodic Death Metal	death metal	metal	swedish	In Flames	189
Melodic Death Metal	death metal	metal	swedish	Inflames	6
Melodic Death Metal	death metal	metal	swedish	Soilwork	2
Melodic Death Metal	death metal	swedish	metal	Avatar	5
Melodic Death Metal	death metal	swedish	metal	Dark Tranquility	77
Melodic Death Metal	death metal	swedish	metal	Dark Tranquillity	77
Melodic Death Metal	finnish	metal	melodic metal	Misery Inc	2
Melodic Death Metal	industrial metal	death metal	german	Cypecore	2
Melodic Death Metal	metalcore	Female fronted metal	death metal	Deadlock	1
Melodic Death Metal	swedish	death metal	metal	The Halo Effect	6
Melodic Death Metal	viking metal	death metal	swedish	Amon Amarth	1
Natural Trance	tribal	psytrance	goa	Hilight Tribe	3
Nu Metal	Home collection	alternative rock	french	Artsonic	14
Nu Metal	alternative	metal	alternative rock	Deftones	70
Nu Metal	alternative metal	metal	hard rock	Drowning Pool	9
Nu Metal	alternative rock			Deepdown	1
Nu Metal	french	metal	frenchcore	Aqme	6
Nu Metal	metal	alternative	rock	Korn	20
Nu Metal	metal	frenchcore	french	Mass Hysteria	28
Nu Metal	metal	hard rock	alternative	Disturbed	8
Nu Metal	metal	heavy metal	Nu-metal	Slipknot	16
Nu Metal	metalcore	hardcore	alternative metal	Ocean Grove	1
Nu Metal	metalcore	metal	Nu-metal	Ill Nino	10
Nu Metal	rapcore	alternative	rock	Limp Bizkit	20
Nu Metal	rapcore	alternative	rock	P O D	1
Nu Metal	rock	alternative rock	alternative	Linkin Park	10
Nu Metal	rock	alternative rock	alternative	Papa Roach	5
Oi	punk	punk rock	street punk	Sham 69	6
Oi	punk	street punk	punk rock	Cock Sparrer	1
Oi	street punk	italian	antifascist	Azione Diretta	1
PabloTilcake	chile			La Medicina	2
Power metal	finnish	heavy metal	finnish metal	Afterworld	2
Power metal	heavy metal	german	metal	Powerwolf	11
Power metal	heavy metal	metal	swedish	Sabaton	1
Progressive House	Belarusian	deep progressive		Michael A	1
Progressive metal	Melodic Death Metal	death metal	doom metal	Amorphis	1
Progressive metal	Sludge	sludge metal	metal	Mastodon	4
Progressive metal	doom metal	Avant-garde Metal	Dark metal	Sup	66
Progressive rock	Progressive metal	psychedelic	Progressive	Porcupine Tree	1
Progressive rock	Psychedelic Rock	classic rock	rock	Pink Floyd	1
Progressive rock	classic rock	rock	70s	Supertramp	2
Progressive rock	classic rock	rock	80s	Genesis	5
Progressive rock	classic rock	rock	80s	The Alan Parsons Project	4
Progressive rock	french	Hip-Hop	Zeuhl	One Shot	1
Psychedelic Rock	60s	Garage Rock	rock	Influence	1
Psychedelic Rock	psychedelic	60s	classic rock	Love	1
Psychedelic Rock	rock	hard rock		Komodrag And The Mounodor	1
RAC	60s	coldwave	Hip-Hop	14	1
RAC	Hip-Hop	rap	french rap	Sniper	2
Reggaeton	groove metal	Colombia	latin	Feid	1
Reggaeton	latin	Hip-Hop	spanish	Daddy Yankee	14
Reggaeton	latin	Hip-Hop	spanish	Don Omar	3
Reggaeton	latin	Hip-Hop	spanish	Don Omar Ft  Lucenzo	3
Reggaeton	latin	Hip-Hop	spanish	Lucenzo  Don Omar	3
Reggaeton	latin	Puerto Rican	puerto rico	Farruko	1
Reggaeton	latin	Venezolana	pop	Lele Pons	2
Reggaeton	latin	pop	nicky jam	Nicky Jam	3
Retro	french			Herbert Leonard	1
Rock and Roll	60s	twist	oldies	Chubby Checker	2
Rock and Roll	classic rock	blues	rock n roll	Chuck Berry	15
Rock and Roll	rock	Soundtrack	rock n roll	Shanana	2
Soundtrack	ambient	Avant-Garde	ethereal	Jocelyn Pook	1
Soundtrack	ambient	electronic	composers	Daniel Pemberton	1
Soundtrack	ambient	instrumental	electronic	Mark Snow	2
Soundtrack	chanson	french	instrumental	Jean Constantin	2
Soundtrack	dark ambient	ambient	instrumental	Matt Uelmen	2
Soundtrack	electronic	australian	video game music	Simon Chylinski	1
Soundtrack	instrumental	Classical	composer	Ennio Morricone	3
Soundtrack	instrumental	Classical	composer	Hans Zimmer	13
Soundtrack	instrumental	Classical	composer	Klaus Badelt	1
Soundtrack	instrumental	Classical	composer	Patrick Doyle	1
Soundtrack	instrumental	Classical	composers	Howard Shore	9
Soundtrack	instrumental	composer	electronic	Vince Dicola	1
Soundtrack	instrumental	electronic	composer	Brad Fiedel	1
Soundtrack	irish	actors	ireland	Cillian Murphy	2
Soundtrack	italian	jazz	composer	Franco Micalizzi	3
Southern Rock	classic rock	rock	hard rock	Lynyrd Skynyrd	3
Southern Rock	hardcore	southern hardcore	american	Wilson	3
Stoner Rock	Psychedelic Rock	hard rock	blues rock	Graveyard	5
Stoner Rock	desert rock	rap	alternative rock	Che	2
Stoner Rock	hard rock	stoner	rock	Clutch	13
UK	cover	england		Edith Whiskers	2
UK Garage	electronic	House	british	Chris Lorenzo	1
USA				Trap Nation	3
United States				Scott Benson Band	5
United States	funk	drjazzmrfunkmusic		Reginald Milton & The Soul Jets	2
Variete francaise	All	pop	french	Patrick Sébastien	3
acid jazz	chillout	electronic	lounge	St Germain	1
acoustic	british	singer-songwriter	pop	Ed Sheeran	5
african	World Music	dance	pop	Wes	1
african	french	Ivory Coast	soukous	Magic System	3
african	percussion	nigeria	world	Michael Olatunji	1
african	senegal	world	World Music	Youssou N Dour	1
afrobeats	Hip-Hop	african	rnb	Tekno	2
afrobeats	trap	nigerian	pop	Rema	2
alternative	punk	anarcho-punk	pop	Chumbawamba	1
alternative	rock	alternative rock	indie	Cake	3
alternative metal	Nu Metal	metal	hard rock	Sevendust	3
alternative metal	alternative rock	rock	hard rock	Daron Malakian And Scars On Broadway	1
alternative metal	metal	Nu Metal	rock	System Of A Down	37
alternative metal	metal	Nu Metal	rock	System Of A Down Track	4
alternative metal	metal	hardcore	hard rock	Life Of Agony	2
alternative metal	rock	hardcore	punk	Pogo Car Crash Control	1
alternative rock	Grunge	alternative	rock	The Smashing Pumpkins	2
alternative rock	alternative	indie	indie rock	Pixies 	7
alternative rock	alternative	indie	indie rock	The Pixies	1
alternative rock	alternative	rock	indie	Placebo	6
alternative rock	alternative metal	rock	hard rock	Chevelle	1
alternative rock	christian rock	rock	alternative	Skillet	7
alternative rock	rock	Progressive rock	alternative	Muse	80
alternative rock	rock	alternative	Grunge	Live	1
alternative rock	rock	alternative	emo	Jimmy Eat World	3
alternative rock	rock	alternative	hard rock	Staind	1
alternative rock	rock	alternative	indie	Incubus	290
alternative rock	rock	alternative	indie	Incubus 	4
alternative rock	rock	alternative	political	Rage Against The Machine	25
alternative rock	rock	alternative	punk	The Presidents Of The United States Of America	7
alternative rock	rock	alternative	punk rock	Alien Ant Farm	2
alternative rock	rock	alternative	punk rock	Smooth Criminal	2
alternative rock	rock	hard rock	alternative	Three Days Grace	1
ambient	dark ambient	dark piano		Noir Et Blanc	1
ambient	electronic	chillout	idm	The Orb	1
ambient	electronic	downtempo	chillout	Jon Hopkins	1
ambient	electronic	indie	chillout	Polly	4
artistes				Kamaleon	3
artistes				La Petite Culotte	3
bachata	latin	toby love	Reggaeton	Toby Love	3
baroque	Classical	english	composer	Henry Purcell	2
black metal	death metal	punk	punk rock	Parabellum	1
black metal	doom metal	Orthodox Black Metal	polish	Batushka	1
black metal	pagan black metal	polish	polish black metal	Werewolf	1
bluegrass	country	hillbilly	covers	Hayseed Dixie	4
blues	blues rock	guitar	classic rock	Stevie Ray Vaughan & Double Trouble	1
blues	blues rock	guitar	classic rock	Stevie Ray Vaughan And Double Trouble	1
blues	blues rock	rock	guitar	Johnny Winter	1
blues	classic rock	blues rock	rock	Eric Clapton	1
blues	funk	jazz	New Orleans	Dr  John	1
blues	indie	soul	singer-songwriter	Hozier	1
blues	mistagged track	Madonna	russian	15	1
blues	rhythm and blues	rock n roll	Rock and Roll	Fats Domino	2
blues	singer-songwriter	experimental	rock	Tom Waits	11
blues	swamp blues	harmonica blues	Classic Blues	Slim Harpo	1
blues rock	blues	classic rock	60s	Canned Heat	5
blues rock	blues	rock	indie rock	The Black Keys	4
blues rock	classic rock	hard rock	Southern Rock	Zz Top	7
blues rock	classic rock	rock	blues	George Thorogood & The Destroyers	3
blues rock	hard rock	rock	classic rock	Rival Sons	3
brass	rock	cover	Pisscore	Brass Against	9
breakbeat	breaks	electro breaks	electronic	Far Too Loud	3
breakcore	Raggacore	jungle	Ragga Jungle	Fff	1
british	indie rock	indie	rock	Miles Kane	1
british	pop	electropop	electronic	Bombalurina	1
britpop	Psychedelic Rock	indie	rock	Kula Shaker	1
britpop	indie	british	alternative	Pulp	1
britpop	indie	british	rock	Travis	12
britpop	indie	female vocalists	alternative	Elastica	1
britpop	indie	rock	british	Starsailor	2
britpop	rock	alternative	british	The Verve	4
britpop	rock	british	alternative	Oasis	3
britpop	rock	indie	british	Blur	4
calypso	barbados	60s	70s	The Merrymen	2
cape verde	cabo verde	World Music	cape verdean	Elida Almeida	2
celtic	folk	irish	Irish Folk	The Chieftains	5
celtic punk	folk punk	punk	punk rock	The Real Mckenzies	7
celtic punk	punk	australian	celtic	The Rumjacks	5
chanson	french	chanson francaise	singer-songwriter	Jacques Brel	2
chanson	rock	france	pop rock	Patrick Coutin	7
chanson francaise				A Cause Des Garcons	2
chanson francaise	auteur-compositeur-interprete	michel jonasz	MJonasz	Michel Jonasz	2
chanson francaise	french	80s	chanson	Alain Chamfort	1
chanson francaise	french	Chanson Française	chanson	Jean Ferrat	1
chanson francaise	french	cabaret	chanson	Jean Gabin	1
chanson francaise	french	chanson	Belgium	Claude Barzotti	1
chanson francaise	french	chanson	favs	Les Croquants	8
chanson francaise	french	chanteur francais	pop	Alain Barrière	1
chanson francaise	french	female vocalists	chanson	Barbara	1
chanson francaise	french	pop	80s	Daniel Balavoine	2
chanson francaise	french	pop	80s	Pierre Bachelet	2
chanson francaise	french	pop	Chanson Française	Michel Sardou	3
chanson francaise	french	pop	chanson	Julien Clerc	5
chanson francaise	french	pop	chanson	Michel Delpech	1
chanson francaise	french	pop	france	Gerard Lenormand	1
chanson francaise	french	pop	france	Gérard Lenorman	1
chanson francaise	french	pop	francophone	Laurent Voulzy	2
chanson francaise	french	pop	rock	Florent Pagny	4
chanson francaise	french	rock	rock francais	Bernard Lavilliers	3
chanson francaise	french	rock	rock francais	Hubert-Félix Thiéfaine	4
chanson francaise	french	rock	rock francais	Johnny Haliday	2
chanson francaise	french	rock	rock francais	Johnny Hallyday	30
chanson francaise	french	singer-songwriter	chanson	Renaud	2
chanson francaise	french	singer-songwriter	pop	Francis Cabrel	3
chanson francaise	male vocalists	french	Chanson Française	Daniel Guichard	2
chanson francaise	rock	french	france	Billy Ze Kick	3
chanson francaise	rock	french	punk	Pigalle	1
chanson francaise	spanish	Belgium	French singer	Frederic Francois	1
chanson francaise	spanish	Belgium	French singer	Frédéric François	1
chillout	lounge	ambient	electronic	Café Del Mar	2
classic rock	60s	pop	Surf	The Beach Boys	2
classic rock	60s	rock	british	The Kinks	4
classic rock	60s	rock	oldies	The Mamas & The Papas	3
classic rock	Progressive rock	rock	70s	Electric Light Orchestra	1
classic rock	Psychedelic Rock	rock	60s	The Doors	4
classic rock	hard rock	rock	60s	Steppenwolf	5
classic rock	hard rock	rock	70s	Led Zeppelin	4
classic rock	hard rock	rock	70s	Ramjam	1
classic rock	rock	70s	british	Wings	3
classic rock	rock	70s	funk	Redbone	3
classic rock	rock	70s	psychedelic	Steve Miller Band	2
classic rock	rock	70s	soft rock	Eagles	2
classic rock	rock	80s	blues	Dire Straits	1
classic rock	rock	Southern Rock	60s	Creedence Clearwater Revival	3
classic rock	rock	blues	psychedelic	Jimmy Hendrix	2
classic rock	rock	british	60s	Rolling Stones	1
classic rock	rock	british	60s	The Beatles	25
classic rock	rock	british	60s	The Who	1
classic rock	rock	hard rock	80s	Survivor	4
classic rock	rock	hard rock	female vocalists	Heart	1
classic rock	rock	hard rock	glam rock	Queen	27
classic rock	rock	metal xmas	pop	Dug Pinnick And Others	1
comedy	funny	british	Soundtrack	Benny Hill	3
composer	french	france	pop	Eric Charden	1
composer	jazz	Soundtrack	contemporary classical	Raymond Lefèvre	1
conneries	french			Bézu	6
country				The Ghost Of Johnny Cash	2
country	american	modern country		Drake Milligan	2
country	classic country	50s	male vocalists	Marty Robbins	2
country	contemporary country	american	California	Jon Pardi	6
country	country rock	Alt-country	rock	The Flying Burrito Brothers	1
country	country rock	rock	modern country	Big & Rich	3
country	folk	modern country	true blood	Jace Everett	3
country	folk	singer-songwriter	classic rock	Johnny Cash	3
country	modern country	Little Big Town	american	Little Big Town	1
country	pop	female vocalists	Canadian	Shania Twain	2
country	rock	90s	american	Billy Ray Cyrus	2
country	rockabilly	german	rock	The Bosshoss	6
country	singer-songwriter	cowboy	classic rock	Michael Murphy	1
covers	punk rock	punk	rock	Punk Cover	2
crack rock steady	punk	ska punk	ska	Choking Victim	1
crossover	Hip-Hop	dutch	rock	Urban Dance Squad	2
crossover	Nu Metal	metal	austrian	Kontrust	3
crossover	rapcore	hardcore	rap metal	Body Count	6
crossover	rapcore	punk	alternative	Dog Eat Dog	28
crossover	rock	alternative rock	alternative	H-Blockx	1
cumbia	brazilian	salsa	male vocalists	Rodolfo Y Su Tipica	4
dance	House	electronic	techno	Pakito	1
dance	cubano	latina	cuban	Havana Delirio	3
dance	electronic	eurodance	pop	Eiffel 65	1
dance	electronic	french	pop	Ofenbach	1
dance	eurodance	80s	techno	Technotronic	1
dance	eurodance	90s	pop	Haddaway	4
dance	folk	brazil	brasil	Carrapicho	1
dance	latin	80s	brazilian	Kaoma	5
dance	math rock	indie	noise rock	Bellini	1
dance	pop	electronic	90s	Deee-Lite	1
dance	pop	eurodance	90s	Gala	3
dance	pop	eurodance	90s	Scatman John	1
dance	pop	eurodance	Romanian	O-Zone	1
dance	pop	female vocalists	eurodance	Kate Ryan	1
dance	reggae	rnb	hip hop	Lucenzo	1
dancehall	ragga	raggamuffin		Dj Kenny	1
dancehall	reggae	Hip-Hop	rnb	Sean Paul	5
dancehall	reggae	jamaica	ragga	Red Rat	2
dancehall	reggae	spotify	jamaica	Charly Black	3
danish	heavy metal	comedy	polsk punk	Red Warszawa	2
dark ambient	screamo			Jonathan Livingston Seagull	1
dark electro	ebm	industrial	Harsh EBM	Painbastard	4
dark electro	ebm	industrial	Harsh EBM	Xmh	11
death metal	Progressive metal	progressive death metal	metal	Gojira	15
death metal	black metal	Blackened Death Metal	metal	Sinsaenum	1
death metal	progressive death metal	doom metal	experimental death metal	Supuration	4
death metal	thrash metal	french	Melodic Death Metal	Loudblast	10
death punk	punk rock	punk	rock	Turbonegro	3
deathcore	brutal deathcore	death metal	Brutal Death Metal	Crown Magnetar	1
deathcore	metalcore	death metal	Technical Death Metal	Bleed From Within	1
deep house	Italy	Raffa		Raffa Fl	2
deep house	electronic	dance	House	Lost Frequencies	2
deep house	minimal	tech house	House	Nick Curly	2
depressive black metal	punk	Psychedelic Rock	70s	Help	1
doo wop	50s	oldies	rhythm and blues	The Clovers	2
doom metal	Traditional Doom Metal	Epic Doom Metal	british	Warning	1
downtempo	jazz	funk	rap	Deela	2
dreamwave	synthpop	synthwave	space disco	Tommy	6
drone	Stoner Rock	experimental	Sludge	Boris	2
electro	electronic	ed banger	french	Ed Banger Records	1
electro	electronic	french	ed banger	Busy P	2
electro	french	electronic	fidget house	Les Petits Pilous	2
electro swing	funky	jazz	electronic	Jamie Berry	4
electro-swing	jazz	electronic	french	Caravan Palace	1
electronic				Goodbye Horses	2
electronic	Electroclash	electro	french	Black Strobe	2
electronic	Electroclash	synthpop	electro	Fischerspooner	2
electronic	Hip-Hop	big beat	Rave	Prodigy	1
electronic	Hip-Hop	instrumental	instrumental hip-hop	Mux Mool	1
electronic	Hip-Hop	trip-hop	trap	Hippie Sabotage	2
electronic	House	dance	electro	Mylo	1
electronic	House	dance	techno	Daft Punk	40
electronic	House	deep house	experimental	Sirens Of Lesbos	3
electronic	House	techno	dance	Benny Benassi	3
electronic	UK Garage	House	future garage	Disclosure	1
electronic	alternative	Hip-Hop	rock	Gorillaz	9
electronic	alternative	Soundtrack	pop	Malcolm Mclaren	1
electronic	alternative	rap	indie pop	Twenty One Pilots	7
electronic	ambient	chillout	alternative	Moby	119
electronic	ambient	krautrock	Progressive rock	Tangerine Dream	1
electronic	ambient	new age	instrumental	Jean-Michel Jarre	13
electronic	austrian	balkan	alternative	Binder & Krieglstein	2
electronic	big beat	dance	House	Fatboy Slim	9
electronic	big beat	dance	techno	The Chemical Brothers	9
electronic	chill	Lo-Fi	french	Thaehan	3
electronic	chillout	ambient	french	Air	6
electronic	dance	Hip-Hop	electronica	Stereo Mc S	1
electronic	dance	belgian	french	Stromae	1
electronic	dance	trance	danish	Safri Duo	1
electronic	dancehall	reggae	dub	Major Lazer	2
electronic	electro	dance	german	Digitalism	50
electronic	electro	dance	new rave	Simian Mobile Disco	1
electronic	electro	french	dance	Kavinsky	1
electronic	electro	french	new rave	The Toxic Avenger	1
electronic	electro	french	techno	Mr  Oizo	1
electronic	electro	techno	dance	Vitalic	5
electronic	electropop	danish	Electroclash	Who Made Who	5
electronic	experimental	indie	female vocalists	Psapp	2
electronic	french	Disco	indie	Breakbot	4
electronic	french	downtempo	singer-songwriter	Sébastien Tellier	2
electronic	french	electro	dance	Justice	9
electronic	french	electro	idm	Scratch Massive	1
electronic	funk	alternative	rock	Shaka Ponk	36
electronic	funk	alternative	rock	Shakaponk	26
electronic	idm	electronica	breaks	Paul Hartnoll	2
electronic	indie	riot grrrl	female vocalists	Le Tigre	2
electronic	japanese	electro	electronica	Zongamin	2
electronic	new age	ambient	Soundtrack	Vangelis	3
electronic	new wave	synthpop	synth pop	  Depeche Mode	3
electronic	new wave	synthpop	synth pop	Depeche Mode	138
electronic	pop	dance	power pop	Campbell	2
electronic	rock	space rock	alternative	Babylon Zoo	1
electronic	shoegaze	post-rock	indie	M83	1
electronic	soul	rnb	pop	Joel Culpepper	2
electronic	spanish	indie	Electro-Rock	Cycle	1
electronic	synthpop	german	electronica	Kraftwerk	148
electronic	synthpop	pop	90s	The Beloved	2
electronic	techno	industrial	dance	The Prodigy	20
electronic	trip-hop	House	dance	Bomb The Bass	1
electronic	trip-hop	dance	House	Faithless	1
electronic	trip-hop	french	electro	Mirwais	2
electronic	turntablism	australian	dance	The Avalanches	2
electronica	Disco	podcast	nu disco	Loopmasters	2
emo	rock	alternative	indie	Northstar	1
eurodance	90s	dance	german	Captain Hollywood Project	1
eurodance	dance	90s	electronic	Cappella	2
eurodance	dance	90s	pop	Corona	1
eurodance	dance	90s	pop	Dr  Alban	2
eurodance	dance	90s	pop	La Bouche	1
experimental	Avant-garde Metal	electronic	metal	Pryapisme	1
experimental	dream pop	indie pop	indie	Cuco	2
experimental	electronic	Avant-Garde	electro	Felix Kubin	1
experimental	electronic	krautrock	ambient	Public Service Broadcasting	14
experimental	electronic	math metal	DJENT	The Algorithm	5
experimental metal	Video Game Metal	heavy metal	metal	Vomitron	1
female vocalists	alternative	singer-songwriter	rock	Pj Harvey	14
female vocalists	electronic	atmospheric	USA	Malia J	1
female vocalists	electronic	hardcore	dance	Juliet	2
female vocalists	folk	indie	Alt-country	The Watson Twins	1
female vocalists	indie	alternative	rock	Shivaree	1
female vocalists	indie	alternative	singer-songwriter	Anna Calvi	2
female vocalists	indie	chillout	trip-hop	Sia	2
female vocalists	indie pop	indie rock	french	Hollysiz	1
female vocalists	pop	80s	diva	Barbra Streisand	2
female vocalists	pop	french	Canadian	Lara Fabian	1
female vocalists	rock	alternative	singer-songwriter	Alanis Morissette	1
female vocalists	rock	singer-songwriter	alternative	Joan Osborne	1
female vocalists	singer-songwriter	indie	acoustic	Amy Macdonald	3
female vocalists	singer-songwriter	pop	alternative	Kate Bush	3
female vocalists	singer-songwriter	pop	alternative	Kate Bush-	5
folk	experimental	indie rock	indie	Califone	1
folk	female vocalists	singer-songwriter	indie	Laura Marling	4
folk	indie	acoustic	australian	Angus And Julia Stone	1
folk	indie	female vocalists	french	Moriarty	7
folk	irish	punk	folk rock	The Pogues	2
folk	singer-songwriter	female vocalists	60s	Melanie	1
folk	singer-songwriter	female vocalists	60s	Melanie Safka	2
folk	singer-songwriter	indie	indie pop	Andrew Bird	1
folk	swedish	medieval	Scandinavian folk	Garmarna	3
folk metal	mongolian	folk rock	folk	The Hu	4
folk metal	viking metal	Melodic Death Metal	finnish	Ensiferum	1
france	80s	Chanson Française	synth pop	Thierry Pastor	2
france	njie			Njie	3
french				Pacifique	1
french				Zero Talent	3
french	70s	chanson	france	Dalida & Alain Delon	1
french	80s	70s	francais	Caroline Legrand	1
french	80s	chanson francaise	French 80s	Jean-Pierre Mader	2
french	80s	tube du grenier		Laroche Valmont	2
french	All	Ye-Ye Girls		Michelle Torr	1
