artist	nbr	tag1	tag2	artist:1
Police	11	rock	classic rock	Police
Moonspell	11	Gothic Metal	doom metal	Moonspell
Lamb Of God	11	metalcore	groove metal	Lamb Of God
Ken Ishi	11	techno	electronic	Ken Ishi
Kaolin	11	french	rock	Kaolin
George Michael	11	pop	80s	George Michael
Francky Vincent	11	zouk	creole	Francky Vincent
Diablo Blvd	11	seen live	hard rock	Diablo Blvd
Daniel Balavoine	11	chanson francaise	french	Daniel Balavoine
Dagoba	11	industrial metal	groove metal	Dagoba
Daddy Yankee	11	Reggaeton	latin	Daddy Yankee
Chuck Berry	11	Rock and Roll	classic rock	Chuck Berry
Bézu	11	Chanson Française	GodZ	Bézu
At The Gates	11	Melodic Death Metal	death metal	At The Gates
Air	11	electronic	chillout	Air
The Clash	10	punk	punk rock	The Clash
The Black Eyed Peas	10	Hip-Hop	pop	The Black Eyed Peas
Stars On 45	10	Disco	80s	Stars On 45
Simian  Mobile  Disco	10	electronic	electro	Simian  Mobile  Disco
Ricky Martin	10	latin	pop	Ricky Martin
Richard Gotainer	10	humour	french	Richard Gotainer
People From Venus	10	indie rock	under 2000 listeners	People From Venus
Martin Solveig	10	House	electronic	Martin Solveig
Locust	10	electronic	trip-hop	Locust
Lio	10	synthpop	pop	Lio
La Compagnie Créole	10	french	zouk	La Compagnie Créole
Kool & The Gang	10	funk	soul	Kool & The Gang
Jean-Pierre Mader	10	french	chanson francaise	Jean-Pierre Mader
Iro Maiden	10	heavy metal	metal	Iro Maiden
Hollysiz	10	female vocalists	indie pop	Hollysiz
Gotan Project	10	tango	electronic	Gotan Project
Goldfinger	10	punk	ska	Goldfinger
Ed Sheeran	10	acoustic	british	Ed Sheeran
Dany Brillant	10	jazz	french	Dany Brillant
Cave In	10	hardcore	metalcore	Cave In
Buena Vista Social Club	10	latin	cuban	Buena Vista Social Club
16	10	Sludge	hardcore	16
15	10	mistagged track	blues	15
Warpaint	9	psychedelic	indie	Warpaint
Various Artists	9	electronic	indie	Various Artists
The Weeknd	9	rnb	electronic	The Weeknd
Pierpoljak	9	reggae	french	Pierpoljak
Patrick Sebastien	9	france	Variete francaise	Patrick Sebastien
Patrick Juvet	9	Disco	70s	Patrick Juvet
Ottawan	9	Disco	80s	Ottawan
Marc Anthony	9	salsa	latin	Marc Anthony
M  Pokora	9	rnb	pop	M  Pokora
Justice	9	electronic	electro	Justice
Juanes	9	latin	spanish	Juanes
Jennifer Lopez	9	pop	latin	Jennifer Lopez
Jeanne Mas	9	french	pop	Jeanne Mas
Jackson 5	9	soul	motown	Jackson 5
Imagination	9	Disco	80s	Imagination
Images	9	french	pop	Images
Henry Mendez	9	Reggaeton	latin	Henry Mendez
François Valéry	9	80s	french	François Valéry
France Gall	9	french	pop	France Gall
Film	9	rock	alternative rock	Film
Donna Summer	9	Disco	pop	Donna Summer
Dario Moreno	9	turkish	chillout	Dario Moreno
Dalida	9	french	female vocalists	Dalida
Christophe Willem	9	french	pop	Christophe Willem
Christophe Maé	9	french	pop	Christophe Maé
Chayanne	9	chayanne	latin	Chayanne
Carly Rae Jepsen	9	pop	Canadian	Carly Rae Jepsen
Carlos	9	trance	electronic	Carlos
Black M	9	Hip-Hop	france	Black M
Black Bomb A	9	metalcore	hardcore	Black Bomb A
Bad Religion	9	punk	punk rock	Bad Religion
Ac Dc	9	hard rock	classic rock	Ac Dc
Zebda	8	french	ska	Zebda
Trust	8	synthpop	electronic	Trust
Sébastien Patoche	8	chanson francaise	Crap	Sébastien Patoche
Stromae	8	electronic	dance	Stromae
Stevie Wonder	8	soul	funk	Stevie Wonder
Soft Cell	8	new wave	80s	Soft Cell
Sean Paul	8	dancehall	reggae	Sean Paul
Raggasonic	8	reggae	ragga	Raggasonic
Pulley	8	punk rock	punk	Pulley
Plastic Bertrand	8	new wave	punk	Plastic Bertrand
Paradisio	8	eurodance	dance	Paradisio
Mano Negra	8	ska	alternative	Mano Negra
Magazine 60	8	Italo Disco	80s	Magazine 60
Lost Frequencies	8	electronic	deep house	Lost Frequencies
Lily Allen	8	pop	female vocalists	Lily Allen
Les Rita Mitsouko	8	french	rock	Les Rita Mitsouko
Les Forbans	8	french	seen live	Les Forbans
Grace Jones	8	Disco	new wave	Grace Jones
Durendal	8	humour	metalcore	Durendal
Chic	8	Disco	funk	Chic
Cher	8	pop	female vocalists	Cher
Bernard Lavilliers	8	chanson francaise	french	Bernard Lavilliers
Aya Nakamura	8	rnb	pop	Aya Nakamura
Various	7	electronic	indie	Various
Too Many Zooz	7	jazz	seen live	Too Many Zooz
Scorpions	7	hard rock	classic rock	Scorpions
Propain	7	Hip-Hop	rap	Propain
Pharrell Williams	7	Hip-Hop	rnb	Pharrell Williams
Mylène Farmer	7	french	pop	Mylène Farmer
Miles Davis	7	jazz	trumpet	Miles Davis
Meco	7	Disco	instrumental	Meco
Maroon 5	7	rock	pop	Maroon 5
Major Lazer	7	seen live	dancehall	Major Lazer
Lenny Kravitz	7	rock	funk	Lenny Kravitz
Lady Gaga	7	pop	dance	Lady Gaga
Jean-Louis Aubert	7	french	rock francais	Jean-Louis Aubert
Gloria Gaynor	7	Disco	70s	Gloria Gaynor
Gloria Estefan	7	latin	pop	Gloria Estefan
David Guetta	7	House	dance	David Guetta
Corona	7	eurodance	dance	Corona
Cascada	7	dance	trance	Cascada
Calogero	7	french	chanson francaise	Calogero
Bérurier Noir	7	punk	french	Bérurier Noir
Britney Spears	7	pop	dance	Britney Spears
Avicii	7	House	electronic	Avicii
Anti Flag	7	punk	punk rock	Anti Flag
18	7	Soundtrack	metal	18
17	7	rock	hard rock	17
Yazoo	6	80s	new wave	Yazoo
Voodoo Glow Skulls	6	ska	ska punk	Voodoo Glow Skulls
Vladimir Cosma	6	Soundtrack	instrumental	Vladimir Cosma
Trevor Jones	6	Soundtrack	instrumental	Trevor Jones
The Gibson Brothers	6	Disco	80s	The Gibson Brothers
The Bouncing Souls	6	punk	punk rock	The Bouncing Souls
Supertramp	6	classic rock	Progressive rock	Supertramp
Sophie Ellis-Bextor	6	pop	dance	Sophie Ellis-Bextor
Sinsémilia	6	reggae	french	Sinsémilia
Sia	6	female vocalists	chillout	Sia
Shy M	6	french	rnb	Shy M
Sexion D Assaut	6	rap	french	Sexion D Assaut
Partenaire Particulier	6	new wave	synthpop	Partenaire Particulier
Nino Ferrer	6	french	chanson francaise	Nino Ferrer
Micky Green	6	pop	female vocalists	Micky Green
Marilyn Manson	6	industrial	industrial metal	Marilyn Manson
Manau	6	french	celtic	Manau
Magic System	6	african	french	Magic System
Logobi Gt	6	french	electronic	Logobi Gt
Les Aristocrates	6	french	60s	Les Aristocrates
Korn	6	Nu Metal	metal	Korn
Kendji Girac	6	french	latin	Kendji Girac
Kassav	6	zouk	creole	Kassav
Joe Cocker	6	classic rock	blues	Joe Cocker
Jean Michel Jarre	6	electronic	ambient	Jean Michel Jarre
Irene Cara	6	pop	80s	Irene Cara
Inxs	6	rock	80s	Inxs
Indeep	6	Disco	80s	Indeep
Incubus 	6	alternative rock	rock	Incubus 
Iggy Pop	6	punk	rock	Iggy Pop
Iam	6	Hip-Hop	french	Iam
Hermes House Band	6	dance	pop	Hermes House Band
Helmut Fritz	6	french	dance	Helmut Fritz
Gérard Blanchard	6	french	france	Gérard Blanchard
Gossip	6	indie	indie rock	Gossip
Gilbert Montagné	6	french	pop	Gilbert Montagné
Gazebo	6	80s	pop	Gazebo
Gala	6	dance	eurodance	Gala
François Feldman	6	french	pop	François Feldman
Frank Sinatra	6	jazz	swing	Frank Sinatra
Eruption	6	Disco	80s	Eruption
Elton John	6	pop	classic rock	Elton John
Earth  Wind & Fire	6	funk	soul	Earth  Wind & Fire
Dr  Alban	6	dance	eurodance	Dr  Alban
Diana Ross	6	soul	Disco	Diana Ross
Corynne Charby	6	french	pop	Corynne Charby
Cock Robin	6	80s	pop	Cock Robin
Black Box	6	dance	House	Black Box
Beyoncé	6	rnb	pop	Beyoncé
Anthrax	6	thrash metal	metal	Anthrax
Annie Cordy	6	chanson francaise	Belgium	Annie Cordy
Anastacia	6	pop	female vocalists	Anastacia
Amir	6	indie	alternative	Amir
Alain Chamfort	6	chanson francaise	french	Alain Chamfort
Adele	6	soul	female vocalists	Adele
Ace Of Base	6	pop	dance	Ace Of Base
William Baldé	5	reggae	chanson francaise	William Baldé
Whitney Houston	5	pop	female vocalists	Whitney Houston
The Rolling Stones	5	classic rock	rock	The Rolling Stones
The Pointer Sisters	5	Disco	80s	The Pointer Sisters
Sister Sledge	5	Disco	soul	Sister Sledge
Seal	5	soul	pop	Seal
Rod Stewart	5	classic rock	rock	Rod Stewart
Ricchi E Poveri	5	italian	pop	Ricchi E Poveri
Rage Against The Machine	5	rock	alternative rock	Rage Against The Machine
Pzk	5	people whose mothers i wish had health plans which included abortion	pop	Pzk
Pink Floyd	5	Progressive rock	classic rock	Pink Floyd
Parov Stelar	5	nu-jazz	electronic	Parov Stelar
Nicki Minaj	5	Hip-Hop	rap	Nicki Minaj
Nena	5	german	pop	Nena
Mylene Farmer	5	french	pop	Mylene Farmer
Modern Talking	5	80s	Disco	Modern Talking
Micropoint	5	hardcore	frenchcore	Micropoint
Marc Lavoine	5	french	chanson francaise	Marc Lavoine
John Williams	5	Soundtrack	Classical	John Williams
Jason Derulo	5	rnb	pop	Jason Derulo
Grégoire	5	french	pop	Grégoire
Far Too Loud	5	breakbeat	breaks	Far Too Loud
Dua Lipa	5	pop	electropop	Dua Lipa
Disturbed	5	metal	Nu Metal	Disturbed
Discobitch	5	french	electronic	Discobitch
Death By Stereo	5	hardcore	seen live	Death By Stereo
Céline Dion	5	pop	female vocalists	Céline Dion
Cerrone	5	Disco	House	Cerrone
Bonez Mc & Raf Camora	5	Hip-Hop	german	Bonez Mc & Raf Camora
Bb Brunes	5	french	rock	Bb Brunes
Alliance Ethnik	5	Hip-Hop	funk	Alliance Ethnik
Alabina	5	arabic	Gypsy	Alabina
Acdc	5	hard rock	classic rock	Acdc
Zz Top	4	classic rock	blues rock	Zz Top
Zouk Machine	4	zouk	caribbean	Zouk Machine
Zaho	4	french	rnb	Zaho
Willy William	4	pop	jamaican	Willy William
Will Smith	4	Hip-Hop	rap	Will Smith
Walk The Moon	4	indie rock	indie	Walk The Moon
Village People	4	Disco	pop	Village People
Union 13	4	punk	punk rock	Union 13
Umberto Tozzi	4	italian	pop	Umberto Tozzi
Tina Turner	4	pop	female vocalists	Tina Turner
Thierry Pastor	4	moustachu	80s	Thierry Pastor
Thierry Hazard	4	french	chanson francaise	Thierry Hazard
The White Stripes	4	rock	alternative	The White Stripes
The Whispers	4	soul	funk	The Whispers
The Offspring	4	punk rock	punk	The Offspring
The Business	4	Oi	punk	The Business
Tarkan	4	turkish	pop	Tarkan
Sugar Ray	4	rock	alternative	Sugar Ray
Star Academy 2	4	paris latino	female	Star Academy 2
St Germain	4	chillout	acid jazz	St Germain
Spiral Tribe	4	techno	tekno	Spiral Tribe
Spice Girls	4	pop	90s	Spice Girls
Spagna	4	80s	Disco	Spagna
Soul Ii Soul	4	soul	80s	Soul Ii Soul
Soldat Louis	4	french	celtic	Soldat Louis
Snfu	4	punk	punk rock	Snfu
Simian Mobile Disco	4	electronic	electro	Simian Mobile Disco
Shinedown	4	rock	hard rock	Shinedown
Sheryfa Luna	4	french	rnb	Sheryfa Luna
Scatman John	4	dance	90s	Scatman John
Santana	4	rock	classic rock	Santana
Rihanna	4	pop	rnb	Rihanna
Rick Astley	4	pop	80s	Rick Astley
Revolver	4	shoegaze	rock	Revolver
Powerwolf	4	Power metal	heavy metal	Powerwolf
Philippe Collin	4	france inter		Philippe Collin
Patrick Hernandez	4	Disco	70s	Patrick Hernandez
Osker	4	punk	punk rock	Osker
No Doubt	4	rock	pop	No Doubt
