artist	nbr	tag1	tag2	artist:1
Berurier Noir	2	punk	french	Berurier Noir
Benny Hill	2	comedy	Brutal Death Metal with Nordic Influence and guest vocalist satan	Benny Hill
Bandolero	2	80s	Psychedelic Rock	Bandolero
Bad Moon Rising	2	hard rock	heavy metal	Bad Moon Rising
Axelle Red	2	french	female vocalists	Axelle Red
Atmosphere	2	Hip-Hop	underground hip-hop	Atmosphere
Ariana Grande	2	pop	rnb	Ariana Grande
Aretha Franklin	2	soul	female vocalists	Aretha Franklin
Andy Williams	2	oldies	60s	Andy Williams
Andre Verchuren	2	Accordeon	musette	Andre Verchuren
Alkilados	2	Reggaeton	Colombia	Alkilados
Alignment	2	techno	hard techno	Alignment
Alice Cooper	2	hard rock	classic rock	Alice Cooper
Alex Ferrari	2	dance	sertanejo	Alex Ferrari
Alessia Cara	2	pop	soul	Alessia Cara
Alan Walker	2	electronic	House	Alan Walker
After 7	2	rnb	90s	After 7
Afro B	2	UK	british	Afro B
Africando All Stars	2	salsa	african salsa	Africando All Stars
Aerosmith	2	rock	classic rock	Aerosmith
Admiral T	2	dancehall	ragga	Admiral T
A Forest	2	black metal	italian	A Forest
1208	2	punk rock	punk	1208
Zuna	1	rap	Hip-Hop	Zuna
Zucchero	1	italian	rock	Zucchero
Zombie Nation	1	electronic	techno	Zombie Nation
Zen Guerrilla	1	Garage Rock	rock	Zen Guerrilla
Zayn & Taylor Swift	1	ns pop	alt-right	Zayn & Taylor Swift
Zac Brown Band	1	country	modern country	Zac Brown Band
Yvonne Elliman	1	Disco	female vocalists	Yvonne Elliman
Yvonne Catterfeld	1	german	pop	Yvonne Catterfeld
Yves Larock	1	House	dance	Yves Larock
Yuri Da Cunha	1	angola	Semba	Yuri Da Cunha
Yuri Buenaventura	1	salsa	latin	Yuri Buenaventura
Yemi Alade	1	afrobeats	nigeria	Yemi Alade
Yelle	1	french	electronic	Yelle
Xtc	1	new wave	post-punk	Xtc
Wings	1	classic rock	rock	Wings
Willy Denzey	1	rnb	Hip-Hop	Willy Denzey
Wild Cherry	1	funk	Disco	Wild Cherry
Who	1	classic rock	rock	Who
Whitesnake	1	hard rock	classic rock	Whitesnake
Wes	1	african	World Music	Wes
Wayne Wonder	1	reggae	dancehall	Wayne Wonder
Wasp	1	heavy metal	hard rock	Wasp
Walls Of Jericho	1	hardcore	metalcore	Walls Of Jericho
Wale	1	Hip-Hop	rap	Wale
Wagner	1	Classical	opera	Wagner
Vonda Shepard	1	female vocalists	pop	Vonda Shepard
Void	1	hardcore punk	hardcore	Void
Vitalic	1	electronic	electro	Vitalic
Vision	1	hardcore	punk	Vision
Video	1	polish	pop rock	Video
Vice	1	hard rock	hardcore	Vice
Veerus	1	Hip-Hop	techno	Veerus
Vanilla Ice	1	rap	Hip-Hop	Vanilla Ice
Vanessa Paradis	1	french	female vocalists	Vanessa Paradis
Vance Joy	1	folk	indie	Vance Joy
Van Morrison	1	classic rock	singer-songwriter	Van Morrison
Vadel	1	indie rock	contemporary r&b	Vadel
Va	1	electronic	indie	Va
Usher	1	rnb	Hip-Hop	Usher
Unknown Ska Cover	1	rock		Unknown Ska Cover
Undisputed Attitude	1	hardcore	italian	Undisputed Attitude
Undeclinable Ambuscade	1	seen live	punk rock	Undeclinable Ambuscade
Uncle Kracker	1	rock	pop	Uncle Kracker
Ultra Vomit	1	grindcore	death metal	Ultra Vomit
Ultra Naté	1	House	dance	Ultra Naté
Ugly Kid Joe	1	hard rock	rock	Ugly Kid Joe
Ub 40 & Pretenders	1	reggae	80s	Ub 40 & Pretenders
U2 With Arcade Fire	1	cover	rock	U2 With Arcade Fire
U2 & Rem	1	rock	pop	U2 & Rem
Tyler Farr	1	country	new country	Tyler Farr
Tv Theme	1	Soundtrack	theme songs	Tv Theme
Tuxedomoon	1	post-punk	experimental	Tuxedomoon
Turbonegro	1	seen live	death punk	Turbonegro
Tribute To Black Sabbath	1	heavy metal	metal	Tribute To Black Sabbath
Travis	1	britpop	indie	Travis
Transplants	1	punk	punk rock	Transplants
Tragédie	1	french	Hip-Hop	Tragédie
Traditional	1	folk	traditional	Traditional
Tracy Chapman	1	female vocalists	singer-songwriter	Tracy Chapman
Total Chaos	1	punk	street punk	Total Chaos
Tori Amos	1	female vocalists	singer-songwriter	Tori Amos
Topic	1	Hip-Hop	rap	Topic
Toofan	1	togo	soukous	Toofan
Tommy Shaw And Others	1	rock	metal	Tommy Shaw And Others
Tom Mcrae & The Standing Band	1	indie	folk	Tom Mcrae & The Standing Band
Tom De Neef & Laidback Luke	1	House	electronic	Tom De Neef & Laidback Luke
Tim Mcgraw	1	country	Tim McGraw	Tim Mcgraw
Tim De Luxe	1	House	dance	Tim De Luxe
Till West & Eddie Thoneick Vs Alexandra Prince	1	DIsco House	vocal house	Till West & Eddie Thoneick Vs Alexandra Prince
Thème	1	Soundtrack	theme songs	Thème
Three Days Grace	1	alternative rock	rock	Three Days Grace
Thomas Rhett	1	country	male vocalists	Thomas Rhett
Therapy	1	seen live	alternative rock	Therapy
Theme Song	1	Soundtrack	theme songs	Theme Song
Theme	1	drone ambient	Space Ambient	Theme
The Weakerthans	1	seen live	indie	The Weakerthans
The Walk	1	indie	under 2000 listeners	The Walk
The Vamps & Matoma	1	the vamps	matoma	The Vamps & Matoma
The Undertones	1	punk	punk rock	The Undertones
The Trammps	1	Disco	funk	The Trammps
The Tornadoes	1	surf rock	Surf	The Tornadoes
The Thumpers	1	punk	punk rock	The Thumpers
The Temper Trap	1	indie	indie rock	The Temper Trap
The Swiss	1	Disco	nu disco	The Swiss
The Supermen Lovers	1	House	electronic	The Supermen Lovers
The Superman Lover	1	House	electronic	The Superman Lover
The Subs	1	electro	seen live	The Subs
The Stranglers	1	new wave	post-punk	The Stranglers
The Statler Brothers	1	country	oldies	The Statler Brothers
The Spinners	1	soul	motown	The Spinners
The Special Goodness	1	rock	indie	The Special Goodness
The Smashing Pumpkins	1	alternative rock	rock	The Smashing Pumpkins
The Sisters Of Mercy	1	Gothic Rock	post-punk	The Sisters Of Mercy
The Sabres Of Paradise	1	electronic	chillout	The Sabres Of Paradise
The Rumjacks	1	celtic punk	punk	The Rumjacks
The Robins	1	doo wop	Rock and Roll	The Robins
The Revels	1	Surf	surf rock	The Revels
The Relentless	1	hardcore	seen live	The Relentless
The Real Thing	1	soul	Disco	The Real Thing
The Rasmus	1	rock	alternative rock	The Rasmus
The Presidents Of The United States Of America	1	rock	alternative	The Presidents Of The United States Of America
The Pogues	1	irish	folk	The Pogues
The Phat Riderz	1	breakbeat	raaahhh	The Phat Riderz
The Merrymen	1	calypso	barbados	The Merrymen
The Matches	1	seen live	punk	The Matches
The Marketts	1	Surf	surf rock	The Marketts
The Mamas & The Papas	1	classic rock	60s	The Mamas & The Papas
The Lively Ones	1	Surf	surf rock	The Lively Ones
The Korgis	1	new wave	pop	The Korgis
The Killers	1	indie	rock	The Killers
The Joykiller	1	punk	punk rock	The Joykiller
The Humpers	1	punk	punk rock	The Humpers
The Fugees	1	Hip-Hop	rap	The Fugees
The Farm	1	madchester	indie	The Farm
The Eternal	1	doom metal	Gothic Metal	The Eternal
The Distillers	1	punk	punk rock	The Distillers
The Darkness	1	rock	hard rock	The Darkness
The Cramps	1	psychobilly	rockabilly	The Cramps
The Coors	1	pop	irish	The Coors
The Chainsmokers	1	electronic	pop	The Chainsmokers
The Centurians	1	surf rock	Surf	The Centurians
The Cars	1	new wave	80s	The Cars
The Cardigans	1	pop	rock	The Cardigans
The Box Tops	1	60s	classic rock	The Box Tops
The Bosshoss	1	country	seen live	The Bosshoss
The Beloved	1	electronic	synthpop	The Beloved
The Beatsteaks	1	seen live	rock	The Beatsteaks
The Autobots & Deep Impact	1	breaks	breakbeat	The Autobots & Deep Impact
The All-American Rejects	1	rock	alternative	The All-American Rejects
The Algorithm	1	experimental	electronic	The Algorithm
Thaehan	1	electronic	chill	Thaehan
Terrorgruppe	1	punk	deutschpunk	Terrorgruppe
Technasia & Green Velvet	1	China		Technasia & Green Velvet
Tchaikovsky	1	Classical	romantic	Tchaikovsky
Tavares	1	Disco	soul	Tavares
Taize	1	christian	taize	Taize
Tactikollectif	1	french	political	Tactikollectif
T Rex	1	glam rock	classic rock	T Rex
System Of A Down & Deftones	1	metal	alternative	System Of A Down & Deftones
System Of A Down 	1	metal	alternative metal	System Of A Down 
Sylvester Levay	1	Soundtrack	composer	Sylvester Levay
Sweet	1	glam rock	classic rock	Sweet
Swanndust	1	rock		Swanndust
Surismo	1	electronic	electro	Surismo
Sunday Bloody Sunday	1	noise	japanese	Sunday Bloody Sunday
Stu Phillips	1	Soundtrack	electronic	Stu Phillips
Stone Sour 	1	hard rock	metal	Stone Sour 
Steve Miller Band	1	classic rock	rock	Steve Miller Band
Steve Aoki & Louis Tomlinson	1	EDM	pop	Steve Aoki & Louis Tomlinson
Steve Angello & Laidback Luke	1	House	electronic	Steve Angello & Laidback Luke
Steve Angello	1	House	Progressive House	Steve Angello
Stereophonics	1	rock	britpop	Stereophonics
Stephen Pearcy And Others	1	heavy metal	xmas	Stephen Pearcy And Others
Starley	1	australian	dance	Starley
Stardust	1	House	electronic	Stardust
Spin Doctors	1	rock	alternative rock	Spin Doctors
Spandau Ballet	1	80s	new wave	Spandau Ballet
Sound Fx	1	sound effects	Hip-Hop	Sound Fx
Sonia Y Selena	1	latin	pop	Sonia Y Selena
Sonia	1	pop	female vocalists	Sonia
Sonata Artica	1	Power metal	metal	Sonata Artica
Sonata Arctica	1	Power metal	metal	Sonata Arctica
Sol Aka Rhyming Sol	1	hip hop	electro	Sol Aka Rhyming Sol
Social Distortion 	1	punk	punk rock	Social Distortion 
Social Distortion	1	punk	punk rock	Social Distortion
Snow Patrol	1	indie	alternative	Snow Patrol
Snow	1	reggae	Hip-Hop	Snow
Sniper	1	RAC	rap	Sniper
Sliimy	1	french	pop	Sliimy
Skreatch Vs Joe Smooth	1	Belgian-american		Skreatch Vs Joe Smooth
Skream	1	dubstep	electronic	Skream
Skindred	1	reggae metal	metal	Skindred
Skavare	1	ska	ska punk	Skavare
Sirens	1	electronic	Progressive metal	Sirens
Siouxsie And The Banshees	1	post-punk	new wave	Siouxsie And The Banshees
Simple Minds	1	new wave	80s	Simple Minds
Simon And Garfunkel	1	folk	classic rock	Simon And Garfunkel
Silver	1	seen live	rock	Silver
Silmarils	1	french	Fusion	Silmarils
Sigur Rss	1	post-rock	ambient	Sigur Rss
Sidney Bechet	1	jazz	swing	Sidney Bechet
Siamese Twins	1	shoegaze	post-punk	Siamese Twins
Shouse	1	House	electronic	Shouse
Sheryl Crow 	1	female vocalists	rock	Sheryl Crow 
Sheppard	1	indie	australian	Sheppard
Shanana	1	Rock and Roll	Soundtrack	Shanana
Shalamar	1	Disco	soul	Shalamar
Sex Pistols	1	punk	punk rock	Sex Pistols
Serge Perathoner	1	Soundtrack		Serge Perathoner
September	1	dance	pop	September
Selena Gomez	1	pop	female vocalists	Selena Gomez
Sdp	1	german	hip hop	Sdp
Scubba	1	Bossa Nova	lounge	Scubba
Scott Benson Band	1	United States		Scott Benson Band
Scatter The Ashes	1	emo	post-hardcore	Scatter The Ashes
Saxon	1	heavy metal	NWOBHM	Saxon
Satronica & Unexist	1	hardcore	Gabber	Satronica & Unexist
Satelite	1	Progressive	under 2000 listeners	Satelite
Sam Hunt	1	country	pop	Sam Hunt
Salt-N-Pepa	1	Hip-Hop	rap	Salt-N-Pepa
Saliva	1	hard rock	rock	Saliva
Sage The Gemini	1	Hip-Hop	rap	Sage The Gemini
Sage Francis	1	Hip-Hop	underground hip-hop	Sage Francis
Ryuichi Sakamoto	1	japanese	ambient	Ryuichi Sakamoto
Russkaja	1	seen live	ska	Russkaja
Running Wild	1	heavy metal	Power metal	Running Wild
Runnind Wild	1	heavy metal	Power metal	Runnind Wild
Run Dmc Aerosmith	1	Hip-Hop	rap	Run Dmc Aerosmith
Run Dmc	1	Hip-Hop	rap	Run Dmc
Rudenko	1	House	electronic	Rudenko
Roxette	1	pop	80s	Roxette
Rooster	1	rock	british	Rooster
Ronnie James Dio And Others	1	heavy metal	doom metal	Ronnie James Dio And Others
Rolling Stones	1	classic rock	rock	Rolling Stones
Roger Sanchez	1	House	electronic	Roger Sanchez
Rodolfo Y Su Tipica	1	cumbia	World Music	Rodolfo Y Su Tipica
Robin Thicke	1	soul	rnb	Robin Thicke
Robin Schulz & David Guetta	1	David Guetta	Robin Schulz	Robin Schulz & David Guetta
Robin S	1	House	dance	Robin S
Rob D	1	electronic	trip-hop	Rob D
Rina Sawayama	1	pop	rnb	Rina Sawayama
Rihanna & Kayne West & Paul Mccartney	1	pop	acoustic	Rihanna & Kayne West & Paul Mccartney
Righteous Brothers	1	oldies	60s	Righteous Brothers
Ride The Lightning	1	thrash metal		Ride The Lightning
Ridan	1	french	chanson francaise	Ridan
Ricky Nelson	1	rockabilly	oldies	Ricky Nelson
Richie Hawtin	1	minimal	techno	Richie Hawtin
Richard Grey	1	House	electronic	Richard Grey
Rhythm Trip	1	rapcore	crossover	Rhythm Trip
Reprise Manu Chao	1	reggae	latin	Reprise Manu Chao
Regina Spector	1	female vocalists	indie	Regina Spector
Reel Big Fish	1	ska	ska punk	Reel Big Fish
Red Aunts	1	punk	riot grrrl	Red Aunts
Ray Lamontagne	1	folk	singer-songwriter	Ray Lamontagne
Rammstein & Clawfinger	1	industrial metal	metal	Rammstein & Clawfinger
Ram Jam	1	classic rock	rock	Ram Jam
Ralph Mctell	1	folk	singer-songwriter	Ralph Mctell
Ralph Mcdonald	1	jazz	funk	Ralph Mcdonald
Rainbow	1	hard rock	classic rock	Rainbow
Raffa Fl	1	deep house	House	Raffa Fl
Raelynn	1	country	the voice	Raelynn
Quincy Jones	1	jazz	soul	Quincy Jones
Quentin Tarantino	1	Soundtrack	tarantino	Quentin Tarantino
Q Lazzarus	1	new wave	synthpop	Q Lazzarus
Punk-Ska Covers	1	ska	cover	Punk-Ska Covers
Propellerheads	1	electronic	big beat	Propellerheads
Prohom	1	rock francais	french	Prohom
Pro Pain	1	hardcore	thrash metal	Pro Pain
Primus	1	funk metal	alternative	Primus
Primary	1	australian	japanese	Primary
Primal Fear	1	Power metal	heavy metal	Primal Fear
Powerman 5000	1	industrial metal	metal	Powerman 5000
Poison Idea	1	hardcore punk	hardcore	Poison Idea
Play For Today	1	pop punk		Play For Today
Plastiscines	1	french	indie	Plastiscines
Pixies	1	alternative	indie	Pixies
Pitbull & Ne-Yo	1	Hip-Hop	rap	Pitbull & Ne-Yo
Pitbull	1	Hip-Hop	rap	Pitbull
Pink	1	pop	female vocalists	Pink
Pil	1	post-punk	new wave	Pil
Pigalle	1	chanson francaise	french	Pigalle
Pictures Of You	1	pop	indie	Pictures Of You
Pharrell	1	Hip-Hop	rnb	Pharrell
Petit Biscuit	1	electronic	french	Petit Biscuit
Peter Yorn	1	singer-songwriter	rock	Peter Yorn
Peter Lorne	1	Soundtrack	80s	Peter Lorne
Peter Andre	1	pop	male vocalists	Peter Andre
Pepe Deluxe	1	electronic	trip-hop	Pepe Deluxe
Pep S	1	french	chanson francaise	Pep S
Pennywsie	1	punk	punk rock	Pennywsie
Peaches	1	Electroclash	electronic	Peaches
Paul Mccartney	1	classic rock	rock	Paul Mccartney
Paul Koulak	1	Soundtrack	instrumental	Paul Koulak
Patrick Doyle	1	Soundtrack	instrumental	Patrick Doyle
Patoranking	1	Hip-Hop	reggae	Patoranking
Parodie	1	parodie	comedy	Parodie
Paramore	1	rock	pop punk	Paramore
Para One & Tacteel	1	electronic	minimal	Para One & Tacteel
Papa Roach	1	rock	Nu Metal	Papa Roach
Paolo Nutini	1	singer-songwriter	indie	Paolo Nutini
Pantera	1	thrash metal	metal	Pantera
Panique Au Mangin Palace	1	podcast		Panique Au Mangin Palace
Pakito	1	dance	House	Pakito
Painbastard	1	dark electro	ebm	Painbastard
P Lion	1	Italo Disco	80s	P Lion
Ozzy Osbourne	1	heavy metal	hard rock	Ozzy Osbourne
Ozzy Osborne & Black Sabbath	1	heavy metal	hard rock	Ozzy Osborne & Black Sabbath
Out Of Office	1	House	club house	Out Of Office
Our Last Night	1	post-hardcore	screamo	Our Last Night
Ophelie Winter	1	french	pop	Ophelie Winter
Oni Logan And Others	1	heavy metal	xmas	Oni Logan And Others
Onerepublic	1	rock	pop rock	Onerepublic
One Shot	1	Progressive rock	Hip-Hop	One Shot
One Direction	1	pop	british	One Direction
Omarion	1	rnb	Hip-Hop	Omarion
Olivier Miller	1	french	french pop	Olivier Miller
Olivia Ruiz	1	french	chanson francaise	Olivia Ruiz
Oceana	1	post-hardcore	metalcore	Oceana
Ocean Drive Feat Dj Oriska	1	electronic house	House	Ocean Drive Feat Dj Oriska
O-Zone	1	dance	pop	O-Zone
Nyxx	1	pop	synthpop	Nyxx
Ntm-Cut Killer	1	Hip-Hop	turntablism	Ntm-Cut Killer
Nt89	1	techno	electronic	Nt89
Noir Desir	1	french	rock	Noir Desir
Noel Gallagher	1	britpop	rock	Noel Gallagher
Noam Kaniel	1	Soundtrack	electronic	Noam Kaniel
No Turning Back	1	hardcore	seen live	No Turning Back
No Fun At All	1	punk rock	punk	No Fun At All
Ninho	1	Hip-Hop	french	Ninho
Nine Inch Nails & David Bowie	1	industrial	industrial rock	Nine Inch Nails & David Bowie
Nina Hagen	1	punk	post-punk	Nina Hagen
Niki Belucci	1	House	electronic	Niki Belucci
Nightcrawlers	1	House	dance	Nightcrawlers
Nigel Kennedy	1	Classical	violin	Nigel Kennedy
Nicolas Peyrac	1	chanson francaise	french	Nicolas Peyrac
Nicky Jam	1	Reggaeton	mierda	Nicky Jam
Nickelback	1	rock	alternative rock	Nickelback
Nick Curly	1	deep house	tech house	Nick Curly
Nick Carr	1	Soundtrack	Disco	Nick Carr
Never Enough	1	hardcore	industrial	Never Enough
Nerf Herder	1	punk	punk rock	Nerf Herder
Neoton Familia	1	Disco	hungarian	Neoton Familia
Nekromantix	1	psychobilly	rockabilly	Nekromantix
Nea	1	pop	swedish	Nea
Natalia La Rose	1	pop	rnb	Natalia La Rose
Naps	1	ambient	electronic	Naps
N Trance	1	dance	trance	N Trance
Mylo	1	electronic	House	Mylo
Musical Youth	1	reggae	80s	Musical Youth
Mr Probs	1	Hip-Hop	dutch	Mr Probs
Mr  Scruff	1	electronic	ninja tune	Mr  Scruff
Mr  Bungle	1	experimental	Avant-Garde	Mr  Bungle
Mozart Opéra Rock	1	french	rock opera	Mozart Opéra Rock
Motörhead	1	heavy metal	hard rock	Motörhead
Motorhead	1	heavy metal	hard rock	Motorhead
Motley Crue	1	hard rock	heavy metal	Motley Crue
Morton Stevens	1	Soundtrack	lounge	Morton Stevens
Morning Runner	1	indie	indie rock	Morning Runner
Montserrat Caballé And Friends	1	pop	rock	Montserrat Caballé And Friends
Money	1	seen live	heavy pop	Money
Moloko	1	electronic	trip-hop	Moloko
Modjo	1	House	dance	Modjo
Modern English	1	new wave	post-punk	Modern English
Moby - Mylene Farmer	1	duo	chillout	Moby - Mylene Farmer
Mobb Deep	1	Hip-Hop	rap	Mobb Deep
Mixa	1	Hip-Hop	pop	Mixa
Milow	1	singer-songwriter	seen live	Milow
Milky Chance	1	indie	seen live	Milky Chance
Mike Post & Pete Carpenter	1	Soundtrack	instrumental	Mike Post & Pete Carpenter
Mike Olfield	1	Progressive rock	new age	Mike Olfield
Mike Candys	1	House	electro house	Mike Candys
Migos	1	Hip-Hop	trap	Migos
Mighty Dub Katz	1	House	electronic	Mighty Dub Katz
Midnight Star	1	funk	soul	Midnight Star
Midnight Oil	1	rock	australian	Midnight Oil
Mick Harvey	1	singer-songwriter	rock	Mick Harvey
Miami Yacine	1	rap	Hip-Hop	Miami Yacine
Metallica & Megadeth	1	heavy metal	metallica	Metallica & Megadeth
Melbourne Ska Orchestra	1	ska	seen live	Melbourne Ska Orchestra
Melanie Safka	1	folk	singer-songwriter	Melanie Safka
Mel Torme	1	jazz	swing	Mel Torme
Mehdi Kerkouche	1	french	musical	Mehdi Kerkouche
Meghan Trainor	1	pop	female vocalists	Meghan Trainor
Megalomaniac	1	thrash metal	speed metal	Megalomaniac
Megadeth & Metallica	1	thrash metal	metal	Megadeth & Metallica
Megadeath	1	thrash metal	heavy metal	Megadeath
Me First And The Gimme Gimmes	1	punk	punk rock	Me First And The Gimme Gimmes
Max Giesinger	1	pop	german	Max Giesinger
Marwa Loud	1	Hip-Hop	french pop	Marwa Loud
Marty Robbins	1	country	classic country	Marty Robbins
Martin Jensen	1	House	dance	Martin Jensen
Martin Garrix & Dua Lipa	1	EDM	electronic	Martin Garrix & Dua Lipa
Martin Garrix & Bebe Rexha	1	netherlands	bebe rexha	Martin Garrix & Bebe Rexha
Mark Forster	1	german	singer-songwriter	Mark Forster
Mark Brown Feat  Sarah Cracknell	1	House	female vocalists	Mark Brown Feat  Sarah Cracknell
Maria Mckee	1	female vocalists	country	Maria Mckee
Manowar	1	heavy metal	Power metal	Manowar
Malia J	1	electronic	female vocalists	Malia J
Malcolm Mclaren	1	alternative	Soundtrack	Malcolm Mclaren
Mahmut Orhan	1	turkish	turkey	Mahmut Orhan
Magic System Feat Khaled	1	african	french	Magic System Feat Khaled
Madcon	1	Hip-Hop	rnb	Madcon
M83	1	electronic	shoegaze	M83
Lullaby	1	black metal	doom metal	Lullaby
Luke Christopher	1	Hip-Hop	pop	Luke Christopher
Luke Bryan	1	country	new country	Luke Bryan
Luis Fonsi	1	pop	latin	Luis Fonsi
Lucy Pearl	1	soul	rnb	Lucy Pearl
Lp	1	indie	rock	Lp
Lowkey & Kardinal	1	electronic	electro	Lowkey & Kardinal
Lovesong	1	The Cure	piano	Lovesong
Lovely Ones	1	Surf	surf rock	Lovely Ones
Louis Prima	1	swing	jazz	Louis Prima
Los Del Rio	1	pop	dance	Los Del Rio
Lorca	1	spanish	pop	Lorca
Looking Up	1	hardcore	skacore	Looking Up
London Music Works	1	Soundtrack	Classical	London Music Works
Lizzo Music	1	Lizzo		Lizzo Music
Little Big Town	1	country	modern country	Little Big Town
Lionel Hampton	1	jazz	swing	Lionel Hampton
Linkin Park	1	rock	Nu Metal	Linkin Park
Link Wray And His Ray Men	1	rockabilly	surf rock	Link Wray And His Ray Men
Lindsey Stirling	1	violin	instrumental	Lindsey Stirling
Lina Margy	1	french	Chanson Française	Lina Margy
Liberty X	1	pop	british	Liberty X
Les Sheriff	1	punk	french	Les Sheriff
Les Petits Pilous Remixed By The Bloody Beetroots	1	electro	electronic	Les Petits Pilous Remixed By The Bloody Beetroots
Les Enfoirés	1	chanson francaise	french	Les Enfoirés
Les Connard	1	Gay Metal	folklore intellectuel	Les Connard
Les Brown	1	jazz	swing	Les Brown
Les Avions	1	80s	new wave	Les Avions
Leo Moracchioli	1	metal	norwegian	Leo Moracchioli
Lemmy Kilmister And Others	1	heavy metal	rock'n'roll	Lemmy Kilmister And Others
Lee Brice	1	country	singer-songwriter	Lee Brice
Le Festival Robles	1	humour	french	Le Festival Robles
Laurent Garnier	1	techno	electronic	Laurent Garnier
Last Caress	1	punk rock	pop punk	Last Caress
Las Ketchup	1	pop	spanish	Las Ketchup
Lartiste	1	french	rap	Lartiste
Lalo Shiffrin	1	jazz	Soundtrack	Lalo Shiffrin
La Grande Sophie	1	french	chanson francaise	La Grande Sophie
Krafwerk	1	electronic	synthpop	Krafwerk
Kool And The Gang	1	funk	soul	Kool And The Gang
Kittie Featuring System Of A Down	1	rapcore	Nu Metal	Kittie Featuring System Of A Down
Kinks	1	classic rock	60s	Kinks
Kinito	1	punk rock	french	Kinito
King Kuduro	1	Kuduro	french	King Kuduro
Kid Cudi Vs Crookers	1	electro	electronic	Kid Cudi Vs Crookers
Keren Ann & Vincent Delerm	1	memories of paris	-artist	Keren Ann & Vincent Delerm
Ken Le Survivant	1	violence	parental advisory	Ken Le Survivant
Kelly Clarkson	1	pop	female vocalists	Kelly Clarkson
Kelis	1	rnb	Hip-Hop	Kelis
Keep Cool	1	soul	rnb	Keep Cool
Keen V	1	french	pop	Keen V
Kd Lang	1	female vocalists	singer-songwriter	Kd Lang
Kc Rebell	1	rap	Deutschrap	Kc Rebell
Kayashi	1	trance		Kayashi
Katie Melua	1	jazz	female vocalists	Katie Melua
Kate Bush-	1	female vocalists	singer-songwriter	Kate Bush-
Kate Bush	1	female vocalists	singer-songwriter	Kate Bush
Kardinal	1	ebm	industrial	Kardinal
Kanye West	1	Hip-Hop	rap	Kanye West
Kamaleon	1	kamaleonDavid		Kamaleon
Kaleo	1	rock	icelandic	Kaleo
Kajagoogoo	1	80s	new wave	Kajagoogoo
K C  And The Sunshine Band	1	Disco	funk	K C  And The Sunshine Band
Justin Timberlake	1	pop	rnb	Justin Timberlake
Justin Nozuka	1	acoustic	singer-songwriter	Justin Nozuka
Junior Jack	1	House	electronic	Junior Jack
José Gonzalez	1	acoustic	singer-songwriter	José Gonzalez
Jose De Rico & Henry Mendez	1	pop	spain	Jose De Rico & Henry Mendez
Jon Bellion	1	electronic	Hip-Hop	Jon Bellion
Johnny Logan	1	pop	Eurovision	Johnny Logan
Johnny Haliday	1	french	chanson francaise	Johnny Haliday
John Paul Young	1	pop	Disco	John Paul Young
John Newman	1	pop	soul	John Newman
John Lennon	1	classic rock	rock	John Lennon
Johann Sebastian Bach	1	Classical	baroque	Johann Sebastian Bach
Joeystarr	1	rap francais	Hip-Hop	Joeystarr
Joey Ramone	1	punk	punk rock	Joey Ramone
Joey Biggs	1	pop		Joey Biggs
Joe Lynn Turner And Others	1	heavy metal	classic rock	Joe Lynn Turner And Others
Jody Wisternoff	1	Progressive House	House	Jody Wisternoff
Jocelyne Labylle & Cheela	1	french	calypso	Jocelyne Labylle & Cheela
Joan Baez	1	folk	singer-songwriter	Joan Baez
Jo Stafford	1	jazz	female vocalists	Jo Stafford
Jin Sonic	1	electro	House	Jin Sonic
Jimmy Somerville	1	80s	pop	Jimmy Somerville
Jimmy Nail	1	pop	rock	Jimmy Nail
Jimi Hendrix	1	classic rock	rock	Jimi Hendrix
Jim Jamison	1	melodic rock	AOR	Jim Jamison
Jim Henson	1	Muppets	Awesome	Jim Henson
Jerry Goldsmith	1	Soundtrack	instrumental	Jerry Goldsmith
Jeremih	1	rnb	Hip-Hop	Jeremih
Jennifer Lopez Pitbull	1	pop	latin	Jennifer Lopez Pitbull
Jeff Scott Soto And Others	1	heavy metal	metal	Jeff Scott Soto And Others
Jean-Sébastien Bach	1	Classical	baroque	Jean-Sébastien Bach
Jean-Louis Murat	1	french	chanson francaise	Jean-Louis Murat
Jean Michel	1	electronic	ambient	Jean Michel
Jaydee	1	House	techno	Jaydee
Jay-Z Feat  Alicia Keys	1	Hip-Hop	soul	Jay-Z Feat  Alicia Keys
Jay-Z	1	Hip-Hop	rap	Jay-Z
Javi Mula	1	House	club	Javi Mula
Jason Mraz	1	singer-songwriter	acoustic	Jason Mraz
Jason Aldean	1	country	modern country	Jason Aldean
James Newton Howard 	1	Soundtrack	instrumental	James Newton Howard 
James Newton Howaerd	1	Soundtrack	instrumental	James Newton Howaerd
James Morrison Feat Nelly Furtado	1	singer-songwriter	british	James Morrison Feat Nelly Furtado
James Morrison	1	singer-songwriter	british	James Morrison
James Horner	1	Soundtrack	instrumental	James Horner
James Blunt	1	pop	singer-songwriter	James Blunt
James Arthur	1	pop	british	James Arthur
Jake Owen	1	country	modern country	Jake Owen
Jacques Higelin	1	chanson francaise	french	Jacques Higelin
Jaco Pastorius	1	jazz	bass	Jaco Pastorius
Jackson Browne	1	singer-songwriter	classic rock	Jackson Browne
Jabberwocky	1	seen live	electronic	Jabberwocky
J Cole	1	Hip-Hop	rap	J Cole
Isolation	1	depressive black metal	black metal	Isolation
Interpol	1	indie	indie rock	Interpol
Inspector Gadget	1	80s	Soundtrack	Inspector Gadget
